,id,num_pax_000_014_mins_before_sdt,num_pax_015_029_mins_before_sdt,num_pax_030_044_mins_before_sdt,num_pax_045_059_mins_before_sdt,num_pax_060_074_mins_before_sdt,num_pax_075_089_mins_before_sdt,num_pax_090_104_mins_before_sdt,num_pax_105_119_mins_before_sdt,num_pax_120_134_mins_before_sdt,num_pax_135_149_mins_before_sdt,num_pax_150_164_mins_before_sdt,num_pax_165_179_mins_before_sdt,num_pax_180_194_mins_before_sdt,num_pax_195_209_mins_before_sdt,num_pax_210_224_mins_before_sdt,num_pax_225_239_mins_before_sdt,num_pax_240plus_mins_before_sdt
0,6921,0,0,2,9,18,21,19,16,12,9,6,4,2,1,0,0,0
1,6931,0,0,4,14,25,26,22,17,11,6,3,1,1,0,0,0,0
2,6932,0,0,3,10,17,20,20,18,14,10,7,5,3,1,1,0,1
3,6933,0,0,2,8,17,20,20,18,14,10,7,4,3,1,1,0,1
4,6934,0,0,1,5,12,19,23,24,20,14,9,6,3,1,0,0,0
5,6935,0,0,1,5,13,19,23,24,20,14,9,6,3,1,0,0,0
6,6936,0,0,0,0,2,3,3,3,3,2,1,1,1,0,0,0,0
7,6956,0,0,3,12,21,24,21,18,13,8,5,3,2,0,0,0,0
8,6957,0,0,3,11,21,25,25,20,14,8,4,2,1,0,0,0,0
9,6958,0,0,2,6,14,20,24,24,19,13,8,5,3,1,0,0,0
10,6959,0,0,1,6,14,20,22,21,16,11,6,4,2,1,0,0,1
11,6974,0,0,4,14,25,28,24,18,11,6,3,1,0,0,0,0,0
12,6975,0,0,1,6,15,22,27,25,20,13,8,5,3,1,0,0,0
13,6998,0,0,0,3,9,18,24,25,21,15,10,7,4,2,1,0,1
14,7048,0,0,1,6,15,22,24,21,16,10,7,5,3,2,1,0,2
15,7116,1,0,1,0,0,4,7,9,8,6,4,3,2,1,0,0,1
16,7209,0,0,1,7,15,23,26,23,17,11,6,4,2,1,0,0,1
17,7237,0,0,1,7,17,24,25,20,14,9,5,3,2,1,0,0,1
18,7238,1,0,4,13,24,30,30,24,16,8,4,1,0,0,0,0,0
19,7239,1,0,2,5,11,18,22,21,17,10,6,3,2,1,0,0,0
20,7253,0,0,1,6,15,21,22,19,15,10,7,5,3,2,1,0,1
21,7262,0,0,1,4,8,8,8,6,5,3,2,1,1,1,0,0,0
22,7306,0,0,1,8,20,29,30,25,16,9,5,3,1,0,0,0,0
23,7322,0,0,1,7,17,25,28,25,18,11,6,3,1,0,0,0,0
24,7337,0,0,1,3,7,10,10,8,5,3,2,1,1,1,0,0,1
25,7338,1,0,3,8,14,20,23,21,17,10,5,2,0,0,0,0,0
26,7348,0,0,1,5,13,21,25,24,19,13,8,5,3,1,0,0,0
27,7356,0,0,3,12,23,28,26,20,13,6,3,1,0,0,0,0,0
28,7360,0,0,1,6,12,13,11,7,3,0,0,0,0,0,0,0,0
29,7401,0,0,0,3,7,11,11,8,6,3,1,1,0,0,0,0,0
30,7402,0,0,1,5,14,22,27,26,20,13,8,5,2,1,0,0,0
31,7443,1,0,0,2,8,15,22,26,28,26,24,19,13,8,5,2,5
32,7444,0,0,2,8,17,24,25,21,15,9,6,4,2,1,1,0,1
33,7445,1,0,1,1,3,7,11,12,11,8,5,3,2,1,0,0,1
34,7461,1,0,3,8,15,19,18,16,12,7,3,1,0,0,0,0,0
35,7462,0,0,3,11,21,25,23,19,13,8,5,3,1,1,0,0,0
36,7463,0,0,0,1,3,6,6,7,6,5,3,2,1,1,0,0,1
37,7464,1,0,3,8,17,23,23,20,16,11,7,4,2,1,0,0,0
38,7465,1,0,3,9,17,24,23,20,16,11,6,3,2,1,0,0,0
39,7480,1,0,3,7,12,14,14,11,7,2,1,0,0,0,0,0,0
40,7512,1,0,5,17,30,36,34,27,17,10,5,3,1,1,0,0,0
41,7513,1,0,5,15,25,31,29,23,16,8,4,1,0,0,0,0,0
42,7514,1,0,4,12,20,24,23,19,13,6,2,0,0,0,0,0,0
43,7538,0,0,2,10,24,32,32,25,15,7,3,1,0,0,0,0,-1
44,7579,0,0,4,12,21,27,28,24,17,9,5,3,1,0,0,0,1
45,7580,0,0,4,12,22,29,29,23,16,9,5,2,0,0,0,0,0
46,7581,0,0,2,9,20,28,27,22,16,10,6,4,3,1,1,0,1
47,7582,0,0,3,12,26,32,28,21,13,6,3,2,1,0,0,0,0
48,7591,0,0,3,14,28,33,29,22,14,8,5,3,3,2,1,0,1
49,7599,0,0,2,9,18,23,23,18,13,8,5,3,2,1,0,0,1
50,7628,0,0,1,6,14,22,26,24,18,11,7,5,3,1,1,0,1
51,7642,0,0,3,10,19,26,27,23,16,9,5,3,1,0,0,0,0
52,7723,1,0,4,13,24,30,30,24,16,8,4,1,0,0,0,0,0
53,7735,0,0,2,10,21,28,28,23,15,8,3,1,0,0,0,0,0
54,7736,1,0,2,6,14,21,24,23,17,10,5,2,0,0,0,0,-1
55,7749,0,0,1,8,19,27,29,24,17,10,5,3,1,0,0,0,0
56,7820,0,0,1,6,14,22,26,24,18,12,7,5,3,1,1,0,1
57,7871,0,0,1,5,8,9,8,7,5,3,2,1,1,1,0,0,0
58,7872,0,0,2,7,15,22,25,22,17,10,6,4,2,1,0,0,1
59,7906,1,0,0,2,8,14,21,25,27,26,24,19,13,8,5,3,5
60,7907,0,0,0,1,5,9,9,8,6,4,2,1,1,1,0,0,1
61,7908,0,0,0,2,6,8,7,5,3,0,0,0,0,0,0,0,0
62,7909,0,0,3,10,19,25,27,23,17,10,6,3,0,0,0,0,0
63,7941,0,0,1,7,18,25,28,25,18,11,6,3,1,0,0,0,0
64,7971,0,0,1,7,14,20,21,19,15,11,8,5,3,2,1,0,2
65,7999,1,0,3,7,14,18,19,17,13,8,5,2,1,1,0,0,0
66,8000,1,0,1,3,9,15,21,26,28,26,23,18,12,7,4,2,5
67,8001,0,0,3,12,23,27,24,18,11,6,3,1,1,0,0,0,0
68,8002,1,0,2,4,7,10,11,10,8,5,3,1,1,0,0,0,0
69,8027,0,0,3,11,22,27,27,21,14,7,3,1,0,0,0,0,0
70,8028,0,0,2,9,20,26,25,20,14,8,4,2,1,0,0,0,0
71,8029,0,0,2,7,14,20,22,20,16,11,8,5,4,2,1,1,2
72,8030,0,0,2,9,18,23,23,19,14,8,6,4,2,1,1,0,1
73,8031,0,0,2,9,19,25,25,20,14,8,5,3,2,1,0,0,1
74,8054,1,0,3,7,13,19,23,21,16,9,5,2,1,0,0,0,0
75,8055,1,0,0,1,5,13,21,26,29,28,25,20,14,8,5,3,6
76,8056,0,0,2,8,17,24,26,23,17,10,6,3,2,1,0,0,1
77,8057,0,0,3,12,22,29,29,23,15,8,4,1,0,0,0,0,0
78,8058,0,0,2,6,14,23,28,27,21,14,9,5,3,1,0,0,0
79,8079,1,0,3,8,16,21,21,18,13,7,4,1,1,0,0,0,0
80,8080,0,0,0,2,4,7,10,9,7,5,3,2,2,1,1,0,2
81,8081,0,0,1,6,15,22,24,21,16,11,7,5,3,2,1,0,2
82,8096,0,0,1,6,15,19,18,15,10,6,2,1,0,0,0,0,0
83,8097,0,0,2,9,20,25,24,19,13,7,4,2,1,1,0,0,1
84,8116,0,0,2,7,12,12,9,6,3,0,0,0,0,0,0,0,0
85,8117,0,0,2,10,19,23,22,19,14,9,6,4,3,1,1,0,1
86,8118,0,0,1,8,18,24,26,24,17,10,6,4,2,0,0,0,0
87,8119,0,0,1,7,17,24,26,24,18,11,6,4,2,0,0,0,0
88,8120,0,0,0,1,6,13,19,21,18,12,8,5,3,1,0,0,1
89,8121,0,0,2,9,20,25,26,21,15,8,4,2,1,0,0,0,0
90,8122,0,0,1,5,13,21,26,25,20,13,9,5,3,1,0,0,0
